,Unnamed: 0,app_id,app_name,review_id,language,review,timestamp_created,timestamp_updated,recommended,votes_helpful,votes_funny,weighted_vote_score,comment_count,steam_purchase,received_for_free,written_during_early_access,author.steamid,author.num_games_owned,author.num_reviews,author.playtime_forever,author.playtime_last_two_weeks,author.playtime_at_review,author.last_played
9397,9397,292030,The Witcher 3: Wild Hunt,83703565,schinese,针不戳,1609477818,1609477818,True,0,0,0.0,0,True,False,False,76561198870391003,42,7,869.0,0.0,869.0,1608175441.0
9418,9418,292030,The Witcher 3: Wild Hunt,83700966,schinese,"不好玩
",1609474241,1609474241,False,1,0,0.4230769276618957,0,True,False,False,76561199033198004,8,2,459.0,60.0,399.0,1610263504.0
22641,22641,292030,The Witcher 3: Wild Hunt,81769202,thai,โคตรอิน,1607327478,1607327478,True,0,0,0.0,0,True,False,False,76561198964067436,13,2,1582.0,0.0,196.0,1609577718.0
24853,24853,292030,The Witcher 3: Wild Hunt,81458840,schinese,很好玩！,1606910053,1606910053,True,0,0,0.0,0,True,False,False,76561198356287723,12,5,3448.0,16.0,551.0,1610785803.0
80526,80526,292030,The Witcher 3: Wild Hunt,72417820,schinese,cao他吗乐格碧  沙币steam云 我t m 玩了2个小时的存档没给我保存下来？？？？我吊尼ma呢！！,1594365920,1594365920,True,0,0,0.0,0,True,False,False,76561198415905457,8,2,268.0,0.0,156.0,1595145074.0
91622,91622,292030,The Witcher 3: Wild Hunt,70889634,english,Yes,1592321892,1592321892,True,0,0,0.0,0,True,False,False,76561198087198781,512,9,4243.0,0.0,4243.0,1577757415.0
97611,97611,292030,The Witcher 3: Wild Hunt,70098098,polish,GOTY of every year,1590934637,1590934637,True,0,0,0.0,0,True,False,False,76561198087096202,155,7,3736.0,0.0,937.0,1604236071.0
109776,109776,292030,The Witcher 3: Wild Hunt,68488614,schinese,两百多个小时通关，然后又去补了小说，吹爆！！,1588505506,1588505506,True,0,0,0.0,0,True,False,False,76561198380550568,104,5,13882.0,0.0,13879.0,1604597723.0
116030,116030,292030,The Witcher 3: Wild Hunt,67532590,english,"Pretty good game, but it definitely has few flaws. 
Ran into quite many glitches and controls can be really annoying in certain situations.
But overall it was absolutely worth the money.",1587177430,1587177430,True,0,0,0.0,0,True,False,False,76561198256556234,11,3,13401.0,0.0,8424.0,1595960884.0
128544,128544,292030,The Witcher 3: Wild Hunt,66122102,spanish,lo compre porque me dijeron que era muy bueno y la verdad no me arrepiento de haberlo comprado,1585522192,1585522192,True,0,0,0.0,0,True,False,False,76561198173536422,8,2,2298.0,0.0,2074.0,1586629412.0
129120,129120,292030,The Witcher 3: Wild Hunt,66065128,russian,"Вот, поиграв 35 часов я прошёл ведьмака 3. Не то чтобы всего, а просто основной сюжет, с очень маленьким кол-вом допов и длц ""Кровь и Вино"". Хочу оценить игру по четырем критериям, а именно:

Начну с сюжета, потому что просто хочу. Сюжет даёт возможность поиграть за Геральта, как я понял после событий второй части или чуть позднее. Сразу говорю романы Сапковского не читал, играл только в Ведьмак 3 и немного в Ведьмак 2, поэтому всё ещё многое об этой вселенной не знаю, но сюжетц меня таки затянул и я за 3-4 дня прошел его. Опять же только сюжет, а допов там еще туча. Кстати игру можно проходить неограниченное кол-во раз, потому что есть режим ""новая игра+"" в котором вы вроде бы продолжаете играть за своего прокачанного перса, все вещи остаются, кроме чертежей, отметок на карте и прочей мелочи. Поэтому за сюжетц я поставлю твёрдые 11/10.

Управление это отдельный разговор. В трёшке оно на двадцать пять уровней выше, хотя возможно я просто не объективно оцениваю, ибо в третьего я играл раньше, чем во второго, но уклоны, знаки, ускорение персонажа, система паркура И ПОЯВИВШИЙСЯ ПРЫЖОК — забрали моё сердце в третью часть. Мне при прохождении второй части очень не хватало плюшек из третьей по типу: прыжок, плотва, ускорение бега и игни. Но вы скажете: ""Игни же есть в Ведьмак 2."", - я скажу нет. Игни в Ведьмак 2 это просто кусок дерьма. В ведьмак 3 игни это очень полезное заклинание и одно из тех, которым я пользовался очень часто.

Фри плей это третий критерий, по которому я сужу эту игру. И в этом случае я её осуждаю. Если что фри плей это игра после основного сюжета. Безусловно, фри плей реализован прикольно, есть чем заняться после сюжетки, относительно не скучно, но есть один большой минус. ПРОПАДАЮТ ПРАКТИЧЕСКИ ВСЕ ПЕРСЫ ИЗ СЮЖЕТА И НЕТ ДОСТОЙНОГО ОКОНЧАНИЯ ИСТОРИИ ГЕРАЛЬТА. И тут все скажут: ""Ты что играешь, чтобы поглазеть на модельки"" или ""Тебя две сцены ебли с Йен не устроили"" и тд. Вообще-то да, не устроили, хотелось бы больше, но это не симс, поэтому в этом плане в принципе ладно. Но без персонажей или хотя-бы просто болванчиков со скинами персонажей сюжета становится пусто. В Каэр Морхене кроме тебя и монстров никого вообще нет. И это печально, хотелось бы видеть Ламберта, Эскеля, которые хотя-бы просто сидят. В Новиграде в борделе Лютика можно найти того же Лютика и Золтана, но ими одними не спасти отсутствие Йен, Цири, Ламберта, Трисс, Эскеля и еще парочки человек, которых я почему-то не вспомнил. Вы могли бы сказать, что Йен (или Трисс, или Цири, или Лютик) приходят к вам в виноградник, хорошо, но, во-первых, это сраное дополнение ""Кровь и Вино"", которое мне пришлось пройти, чтобы увидеть ту же Йен и красиво закончить сюжет. А во-вторых КУДА ПРОПАЛИ ОСТАЛЬНЫЕ? Ни в Каэр Морхене, ни в Велене, ни в Нильфгаарде, ни в Белом саду нет остальных персов и это печально. Только за появление Йен в ""Кровь и Вино"" и квесты ставлю 5/10

Ласт критерий это саунд-сопровождение в игре. Оно ахуенно, кто-бы что ни говорил. Я много раз обосрался со звуков и музыки в напряженный момент. Озвучка русская, конечно, хромает из-за ускорения в некоторых сценах, но она шикарна. За звуки в этой игре я ставлю 9.7/10.

Это первый мой такой подробный обзор на игру, поэтому бог с вами. CDPROJECTRED спасибо за шикарную игру

Итог 10 Ламбертов из 10
10/10",1585461612,1585690238,True,1,0,0.523809552192688,0,True,False,False,76561198353480154,46,10,8247.0,0.0,2142.0,1607272583.0
144251,144251,292030,The Witcher 3: Wild Hunt,63832825,turkish,güzel,1582213871,1582213871,True,0,0,0.0,0,True,False,False,76561198156976259,63,12,10547.0,0.0,3232.0,1609525514.0
156809,156809,292030,The Witcher 3: Wild Hunt,62575738,turkish,MÜ KEM MEL,1580226019,1580226019,True,0,0,0.0,0,True,False,False,76561198310043724,57,7,15488.0,0.0,6608.0,1602176131.0
162638,162638,292030,The Witcher 3: Wild Hunt,62102279,english,Good,1579461643,1579461643,True,0,0,0.0,0,True,False,False,76561198967318907,20,2,6318.0,0.0,749.0,1604944928.0
186090,186090,292030,The Witcher 3: Wild Hunt,60916861,french,"bon jeu, immersif",1577717340,1577717340,True,0,0,0.0,0,True,False,False,76561198410108238,5,1,4724.0,0.0,2054.0,1580746482.0
224249,224249,292030,The Witcher 3: Wild Hunt,57164599,schinese,太棒了,1573745586,1573745586,True,0,0,0.0,0,False,False,False,76561198330001602,146,18,2657.0,0.0,1991.0,1609047549.0
226657,226657,292030,The Witcher 3: Wild Hunt,56842603,schinese,大爱，主要是代入感强呀，就算是现在都是不可多得的游戏,1573308930,1573308930,True,0,0,0.0,0,True,False,False,76561198879229479,17,1,3385.0,0.0,3296.0,1573470289.0
232430,232430,292030,The Witcher 3: Wild Hunt,56114533,schinese,nice,1572597716,1572597716,True,0,0,0.0,0,True,False,False,76561198962623340,38,29,2797.0,0.0,332.0,1607317559.0
272092,272092,292030,The Witcher 3: Wild Hunt,49625674,schinese,我是傻逼,1552882346,1587570361,True,1,1,0.0,0,True,False,False,76561198404302819,147,38,12324.0,0.0,972.0,1609069133.0
284483,284483,292030,The Witcher 3: Wild Hunt,47031175,schinese,"《巫师：狂猎》是一款情节驱动的次世代开放世界角色扮演游戏。

本作的故事发生在一个令人目眩神迷的奇幻宇宙里，玩家做出的每一个选择都意义重大，同时也要面对影响深远的后果。在《巫师》这个广袤的开放世界中，您可以尽情探索商业都市、维京海盗岛屿、危险的山隘和被遗忘的洞窟。

而玩家扮演的是职业怪物杀手利维亚的杰洛特。他接受了委托，要去寻找一个曾经出现在古老预言里的孩子。

游戏优点巫师3有庞大而不空旷的开放世界，任务线很长很多而且质量很高，画面和音乐都很优秀，各种NPC有血有肉，细节刻画很细腻。在巫师的世界里你不能用统一的价值观解决问题，引用一句特里·布拉切特的话：“历史上大多数辉煌的胜利和恐怖的灾难都不是因为人们本性善良或本性邪恶，而是因为人类本性是人。",1543230734,1543230734,True,0,0,0.0,1,True,False,False,76561198214594784,52,4,1496.0,0.0,521.0,1561620523.0
298438,298438,292030,The Witcher 3: Wild Hunt,46170614,russian,Игра столетия!,1542865006,1542865006,True,0,0,0.0,0,True,False,False,76561198078078418,106,4,13179.0,0.0,9240.0,1604928666.0
300485,300485,292030,The Witcher 3: Wild Hunt,46057529,english,Just play it,1542838682,1604306371,True,0,0,0.0,0,True,False,False,76561198033201404,151,1,14353.0,0.0,14353.0,1570916376.0
322103,322103,292030,The Witcher 3: Wild Hunt,41812854,english,"Rich story, lore, soundtrack, side quests, enviroment, dialogues, everything.

When they say ""You can't fit everything from the book into a game"" then this is the definition of fitting everything from the book into a game.

I bought GOTY for 25€ and feel like I underpaid. Worth fullprice.

95%




(-5% for stupid horse and clumsy fast travel)",1525270996,1525271762,True,0,0,0.0,1,True,False,False,76561198027175945,115,34,6127.0,0.0,6113.0,1550333093.0
